Segment,Categoría A (18-30 años) Femenino,Categoría A (18-30 años) Masculino,Categoría B (31-40 años) Femenino,Categoría B (31-40 años) Masculino,Categoría C (41-50 años) Femenino,Categoría C (41-50 años) Masculino,Categoría D (51-60 años) Masculino,Categoría D (51+ años) Femenino,Categoría E (61+ años) Masculino,Elite Femenino,Elite Masculino,Min Speed,Max Speed
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12.28786111,14.23634062,12.08711111,13.47713754,11.84046809,12.85132466,12.33932079,12.16392857,12.13516981,16.02975,18.59531111,6.153,21.909
2,17.42462963,20.21098361,17.03684541,19.15523688,16.68526596,18.15564994,17.4249086,17.28342857,17.19186792,23.24616667,26.06955556,9.142,29.97
3,10.71875926,11.73706011,10.65071014,11.24998675,10.41887234,10.89174721,10.52080824,10.71042857,10.50217925,13.17025,15.08162222,5.484,23.786
4,20.49014815,23.58970492,20.00131401,22.55370555,19.5627234,21.43742193,20.59857885,20.4815,20.37011321,27.50866667,29.91226667,14.81,34.624
5,22.33807407,25.42234608,21.89869565,24.42044575,21.52998936,23.30720818,22.46810753,22.36335714,22.21033019,29.60233333,31.94382222,17.21,36.71
